CALL ID,CALLS,DISPOSITION,TALK TIME,Devolutiva,Custom.Numero_CAP,Custom.Transfer_NPS,Custom.NPS_Solicitacao,Custom.NPS_Nota,DATE,Custom.Analista
3000000022609,1,Caixa Postal,00:00:05,,,N,,,2025/09/04,
3000000022610,1,Caixa Postal,00:00:05,CLI,,N,,,2025/09/04,
3000000022611,1,Não Atende,00:00:08,CLI,10000000261727,N,,,2025/09/04,
3000000022612,1,Caixa Postal,00:00:04,CLI,,N,,,2025/09/04,
3000000022613,1,URA Pesquisa NPS,00:09:25,Cli ,10000000261728,S,Sim,10.0,2025/09/04,Email48444
3000000022614,1,Caixa Postal,00:00:09,cli,10000000261729,N,,,2025/09/04,
3000000022615,1,Caixa Postal,00:00:05,CLI,10000000261730,N,,,2025/09/04,
3000000022616,1,Caixa Postal,00:00:06,CLI,,N,,,2025/09/04,
3000000022617,1,Caixa Postal,00:00:00,cli,,N,,,2025/09/04,
3000000022618,1,Informação,00:00:09,cli,,N,,,2025/09/04,
3000000022619,1,URA Pesquisa NPS,00:07:09,cli,10000000261731,S,Sim,10.0,2025/09/04,Email5556
3000000022620,1,URA Pesquisa NPS,00:06:32,CLI,10000000261732,S,,,2025/09/04,Email11179
3000000022621,1,Caixa Postal,00:00:13,CLI,10000000261733,N,,,2025/09/04,
3000000022622,1,Informação,00:00:00,,,N,,,2025/09/04,
3000000022623,1,Informação,00:00:02,,,N,,,2025/09/04,
3000000022624,1,URA Pesquisa NPS,00:03:33,CLI,10000000261734,S,Sim,10.0,2025/09/04,Email364
3000000022625,1,Caixa Postal,00:00:20,Cliente,10000000261735,N,,,2025/09/04,
3000000022626,1,Caixa Postal,00:00:10,Cliente,10000000261735,N,,,2025/09/04,
3000000022627,1,Caixa Postal,00:00:00,CLI,10000000261736,N,,,2025/09/04,
3000000022628,1,Caixa Postal,00:00:00,CLI,10000000261736,N,,,2025/09/04,
3000000022629,1,Caixa Postal,00:00:00,CLI,10000000261737,N,,,2025/09/04,
3000000022630,1,Caixa Postal,00:00:09,cli,10000000261738,N,,,2025/09/04,
3000000022631,1,Caixa Postal,00:00:03,cli,10000000261738,N,,,2025/09/04,
3000000022632,1,Caixa Postal,00:00:04,Cli,10000000261739,N,,,2025/09/04,
3000000022633,1,Caixa Postal,00:00:05,Cli,10000000261739,N,,,2025/09/04,
3000000022634,1,Caixa Postal,00:00:10,Cli,10000000261740,N,,,2025/09/04,
3000000022635,1,Caixa Postal,00:00:03,Cli,10000000261740,N,,,2025/09/04,
3000000022636,1,Caixa Postal,00:00:27,,,N,,,2025/09/04,
3000000022637,1,Contato de Finalizacao do Protocolo,00:45:40,,,N,,,2025/09/04,
3000000022638,1,Informação,00:00:00,,,N,,,2025/09/04,
3000000022639,1,Informação,00:00:00,,,N,,,2025/09/04,
3000000022640,1,Ligação Muda,00:00:00,CLI,10000000261741,N,,,2025/09/04,
3000000022641,1,Caixa Postal,00:00:00,CLI,10000000261741,N,,,2025/09/04,
3000000022642,1,Contato de Finalizacao do Protocolo,00:07:15,Cli,10000000261742,N,,,2025/09/04,
3000000022643,1,Caixa Postal,00:00:05,CLI,10000000261135,N,,,2025/09/04,
3000000022644,1,URA Pesquisa NPS,00:07:22,CLI,10000000261743,S,Sim,10.0,2025/09/04,Email11179
3000000022645,1,Caixa Postal,00:00:04,CLI,10000000261135,N,,,2025/09/04,
3000000022646,1,Sent To Voicemail,00:00:44,Cli ,10000000261744,S,Sim,10.0,2025/09/04,Email48444
3000000022647,1,Caixa Postal,00:00:10,Cli,10000000261745,N,,,2025/09/04,
3000000022648,1,Caixa Postal,00:00:05,Cli,10000000261745,N,,,2025/09/04,
3000000022649,1,Caixa Postal,00:00:04,cli,10000000261746,N,,,2025/09/04,
3000000022650,1,Caixa Postal,00:00:04,cli,10000000261746,N,,,2025/09/04,
3000000022651,1,Não Atende,00:00:00,cli,10000000261747,N,,,2025/09/04,
3000000022652,1,Caixa Postal,00:00:00,,,N,,,2025/09/04,
3000000022653,1,Caixa Postal,00:00:00,,,N,,,2025/09/04,
3000000022654,1,Informação,00:00:00,,,N,,,2025/09/04,
3000000022655,1,URA Pesquisa NPS,00:00:46,CLI,10000000261748,S,Sim,,2025/09/04,Email296
3000000022656,1,Caixa Postal,00:00:04,Cli ,10000000261749,N,,,2025/09/04,
3000000022657,1,Chamada Não Atendida,00:00:07,Cli ,10000000261749,N,,,2025/09/04,
3000000022658,1,Chamada Não Atendida,00:00:04,Cli ,10000000261749,N,,,2025/09/04,
3000000022659,1,Chamada Não Atendida,00:00:06,Cli ,10000000261749,N,,,2025/09/04,
3000000022660,1,Chamada Não Atendida,00:00:00,Cli ,,N,,,2025/09/04,
3000000022661,1,Informação,00:00:00,CLI,,N,,,2025/09/04,
3000000022662,1,Informação,00:00:08,Cliente,,N,,,2025/09/04,
3000000022663,1,URA Pesquisa NPS,00:02:29,CLI,10000000261750,S,Sim,10.0,2025/09/04,Email296
3000000022664,1,URA Pesquisa NPS,00:03:04,CLI,10000000261751,S,,,2025/09/04,Email296
3000000022665,1,Informação,00:00:00,CLI,,N,,,2025/09/04,
3000000022666,1,Informação,00:00:09,,,N,,,2025/09/04,
3000000022667,1,URA Pesquisa NPS,00:01:00,Cli,10000000261752,S,,,2025/09/04,Email5371
3000000022668,1,Informação,00:00:09,,,N,,,2025/09/04,
3000000022669,1,Informação,00:00:03,Cli,,N,,,2025/09/04,
3000000022670,1,Informação,00:00:36,Cli,,N,,,2025/09/04,
3000000022671,1,Caixa Postal,00:00:00,CLI,10000000261753,N,,,2025/09/04,
3000000022672,1,URA Pesquisa NPS,00:02:06,cLI,10000000261754,S,,,2025/09/04,Email11179
3000000022673,1,Caixa Postal,00:00:00,,,N,,,2025/09/04,
3000000022674,1,Caixa Postal,00:00:00,,,N,,,2025/09/04,
3000000022675,1,Caixa Postal,00:00:00,,,N,,,2025/09/04,
3000000022676,1,Cliente Desligou,00:00:45,Cli,10000000261755,N,,,2025/09/04,
3000000022677,1,URA Pesquisa NPS,00:00:38,Cli,10000000261756,S,Sim,10.0,2025/09/04,Email639
3000000022678,1,Caixa Postal,00:00:05,cli,,N,,,2025/09/04,
3000000022679,1,Caixa Postal,00:00:05,Cli ,10000000261757,N,,,2025/09/04,
3000000022680,1,Caixa Postal,00:00:03,CLI,,N,,,2025/09/04,
3000000022681,1,Caixa Postal,00:00:20,,,N,,,2025/09/04,
